lake.name	date	Year	sum_mg_ww_L
Moss	2004-08-11	2004	0.02221076
Moss	2005-07-20	2005	0.04412068
Moss	2005-08-17	2005	0.0413964
Moss	2006-08-16	2006	0.00356068
Moss	2007-07-13	2007	0.04732688
Moss	2007-07-31	2007	0.09643807
Moss	2008-06-30	2008	0.13248159
Moss	2008-08-06	2008	0.10064897
Moss	2010-07-07	2010	0.04196494
Moss	2010-08-12	2010	0.01181976
Moss	2011-07-13	2011	0.10403775
Moss	2011-08-09	2011	0.02305547
Moss	2012-07-10	2012	0.02529708
North	1994-06-29	1994	0.02123522
North	1994-07-27	1994	0.00485907
North	1994-08-31	1994	0.01120748
North	1995-06-19	1995	0.00287073
North	1995-08-08	1995	0.00678483
North	1995-09-13	1995	0.00932677
North	1996-06-17	1996	0.01618781
North	1996-07-22	1996	0.01968749
North	1996-08-19	1996	0.02891183
North	1997-07-14	1997	0.02450081
North	1997-08-18	1997	0.00539729
North	1998-07-13	1998	0.02235658
North	1998-08-17	1998	0.0087766
North	1999-06-29	1999	0.02205624
North	1999-08-24	1999	0.0114191
North	2000-07-18	2000	0.00862248
North	2000-08-22	2000	0.11252494
North	2001-07-17	2001	0.04929336
North	2001-08-07	2001	0.03472885
North	2002-08-13	2002	0.01399594
North	2002-09-10	2002	0.01494314
North	2003-07-15	2003	0.02581204
North	2003-09-04	2003	0.01207481
North	2004-07-06	2004	0.00422156
North	2004-08-11	2004	0.01227875
North	2005-07-19	2005	0.02034859
North	2005-08-16	2005	0.00474498
North	2006-07-18	2006	0.00965211
North	2006-08-16	2006	0.11117898
North	2007-07-11	2007	0.00971949
North	2007-07-30	2007	0.01108798
North	2008-07-02	2008	0.1195722
North	2008-08-06	2008	0.00156522
North	2008-08-07	2008	0.00621313
North	2010-07-07	2010	0.05075866
North	2010-08-11	2010	0.03019878
North	2011-07-11	2011	0.07383607
North	2011-08-08	2011	0.00486762
North	2012-07-10	2012	0.04309588
Queer	1994-06-20	1994	0.00190743
Queer	1994-07-25	1994	0.00528761
Queer	1994-08-23	1994	0.0056386
Queer	1995-06-13	1995	0.00414437
Queer	1995-08-15	1995	0.00862002
Queer	1995-09-06	1995	0.00835189
Queer	1996-06-18	1996	0.01356014
Queer	1996-07-18	1996	0.00559192
Queer	1996-08-15	1996	0.00879511
Queer	1997-07-08	1997	0.00437722
Queer	1997-08-12	1997	0.01191153
Queer	1998-07-08	1998	0.03616036
Queer	1998-08-11	1998	0.02010453
Queer	1999-07-07	1999	0.041178
Queer	1999-08-17	1999	0.02651816
Queer	2000-07-12	2000	0.00858658
Queer	2000-08-15	2000	0.01019405
Queer	2001-07-10	2001	0.00562578
Queer	2001-09-06	2001	0.00882147
Queer	2002-09-12	2002	0.01549767
Queer	2002-09-19	2002	0.00271969
Queer	2003-07-09	2003	0.0345677
Queer	2003-08-06	2003	0.00972587
Queer	2004-07-13	2004	0.01304877
Queer	2004-08-03	2004	0.01592653
Queer	2005-07-12	2005	0.00734468
Queer	2005-08-09	2005	0.01200896
Queer	2006-07-13	2006	0.00554848
Queer	2006-08-09	2006	0.00983148
Raquette	1994-06-29	1994	0.0205632
Raquette	1994-08-02	1994	0.02986524
Raquette	1994-08-30	1994	0.02392732
Raquette	1995-06-19	1995	0.00717782
Raquette	1995-08-07	1995	0.00677244
Raquette	1995-09-12	1995	0.00272883
Raquette	1996-06-25	1996	0.02116056
Raquette	1996-07-15	1996	0.03163262
Raquette	1996-08-19	1996	0.00953935
Raquette	1998-07-13	1998	0.04540015
Raquette	1998-08-10	1998	0.07197971
Raquette	1999-06-29	1999	0.14406488
Raquette	1999-08-23	1999	0.10471135
Raquette	2000-07-18	2000	0.04158548
Raquette	2000-08-22	2000	0.00862694
Raquette	2001-07-17	2001	0.06165265
Raquette	2001-08-07	2001	0.07186081
Raquette	2002-08-13	2002	0.01543108
Raquette	2002-09-10	2002	0.01365293
Raquette	2003-07-07	2003	0.14224368
Raquette	2003-09-03	2003	0.21467668
Raquette	2004-07-07	2004	0.44562457
Raquette	2004-08-10	2004	0.03183771
Raquette	2005-07-19	2005	0.00900003
Raquette	2005-08-16	2005	0.01507346
Raquette	2006-07-12	2006	0.00914554
Raquette	2006-08-15	2006	0.0038915
Rondaxe	1994-06-29	1994	0.00189858
Rondaxe	1994-07-26	1994	0.00273991
Rondaxe	1994-08-30	1994	0.00336374
Rondaxe	1995-08-09	1995	0.00708107
Rondaxe	1995-09-13	1995	0.00809449
Rondaxe	1996-06-25	1996	0.05164598
Rondaxe	1996-07-15	1996	0.01777373
Rondaxe	1996-08-20	1996	0.0058151
Rondaxe	1997-07-15	1997	0.03411745
Rondaxe	1997-08-19	1997	0.00914195
Rondaxe	1998-07-14	1998	0.01384046
Rondaxe	1998-08-10	1998	0.00787525
Rondaxe	1999-06-30	1999	0.03394453
Rondaxe	1999-08-24	1999	0.02938998
Rondaxe	2000-07-13	2000	0.02442277
Rondaxe	2000-08-23	2000	0.03782003
Rondaxe	2001-07-18	2001	0.0082016
Rondaxe	2001-08-08	2001	0.00344762
Rondaxe	2002-08-14	2002	0.00872999
Rondaxe	2002-09-12	2002	0.02779129
Rondaxe	2003-07-16	2003	0.09247685
Rondaxe	2003-09-04	2003	0.02396863
Rondaxe	2004-07-07	2004	0.06194918
Rondaxe	2004-08-10	2004	0.00358446
Rondaxe	2005-07-20	2005	0.14837176
Rondaxe	2005-08-17	2005	0.01330634
Rondaxe	2006-07-17	2006	0.01704606
